number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
288;L11_0.1R_Sept22;September;2022;22.09.2022;B3;L11;0.1;red;summer;14:50:00;15:10:00;1;1;1;1;4;N;Monthly;triple;NA;;;
289;L11_0.45R_Sept22;September;2022;22.09.2022;B3;L11;0.45;red;summer;14:50:00;15:10:00;1;1;1;1;4;N;Monthly;triple;NA;;;
290;ctrl_0.1_Monthly_Sept22;September;2022;22.09.2022;NA;ctrl_field_neg;0.1;NA;summer;15:10:00;15:10:00;NA;NA;NA;NA;NA;ctrl_neg_field;Monthly;NA;JG;;;
291;ctrl_0.45_Monthly_Sept22;September;2022;22.09.2022;NA;ctrl_field_neg;0.45;NA;summer;15:10:00;15:10:00;NA;NA;NA;NA;NA;ctrl_neg_field;Monthly;NA;JG;;;
292;L12_0.1_Monthly_Sept22;September;2022;22.09.2022;B3;L12;0.1;NA;summer;14:20:00;14:33:00;1;1;1;1;4;none;Monthly;three;NA;;;
293;L12_0.45_Monthly_Sept22;September;2022;22.09.2022;B3;L12;0.45;NA;summer;14:20:00;14:33:00;1;1;1;1;4;none;Monthly;three;NA;;;
294;L1_0.1_Oct22;October;2022;21.10.2022;B1;L1;0.1;NA;summer;13:30:00;13:50:00;1;1;1;1;4;N;Monthly;NA;NA;;;
295;L1_0.45_Oct22;October;2022;21.10.2022;B1;L1;0.45;NA;summer;13:30:00;13:50:00;1;1;1;1;4;N;Monthly;NA;NA;;;
296;L2_0.1B_Oct22;October;2022;21.10.2022;B1;L2;0.1;blue;summer;13:30:00;13:59:00;1;1;1;1;4;none;Monthly;NA;NA;;;
297;L2_0.45B_Oct22;October;2022;21.10.2022;B1;L2;0.45;blue;summer;13:30:00;13:59:00;1;1;1;1;4;none;Monthly;NA;NA;;;
298;L2_0.1O_Oct22;October;2022;21.10.2022;B1;L2;0.1;orange ;summer;13:30:00;13:59:00;1;1;1;0,85;3,85;none;Monthly;NA;NA;;;
299;L2_0.45O_Oct22;October;2022;21.10.2022;B1;L2;0.45;orange ;summer;13:30:00;13:59:00;1;1;1;0,85;3,85;none;Monthly;NA;NA;;;
300;L2_0.1R_Oct22;October;2022;21.10.2022;B1;L2;0.1;red;summer;13:30:00;13:59:00;1;1;1;1;4;none;Monthly;NA;NA;;;
301;L2_0.45R_Oct22;October;2022;21.10.2022;B1;L2;0.45;red;summer;13:30:00;13:59:00;1;1;1;1;4;none;Monthly;NA;NA;;;
302;ctrl_0.1_Monthly_Oct22;October;2022;21.10.2022;NA;ctrl_field_neg;0.1;NA;summer;13:59:00;13:59:00;1;1;1;1;4;ctrl_neg_field;Monthly;NA;NA;;;
303;ctrl_0.45_Monthly_Oct22;October;2022;21.10.2022;NA;ctrl_field_neg;0.45;NA;summer;13:59:00;13:59:00;1;1;1;1;4;ctrl_neg_field;Monthly;NA;NA;;;
304;L3_0.1_Oct22;October;2022;21.10.2022;B1;L3;0.1;NA;summer;13:30:00;13:45:00;1;1;1;1;4;NP;Monthly;NA;BD;;;
305;L3_0.45_Oct22;October;2022;21.10.2022;B1;L3;0.45;NA;summer;13:30:00;13:45:00;1;1;1;1;4;NP;Monthly;NA;BD;;;
306;L4_0.1_Oct22;October;2022;21.10.2022;B1;L4;0.1;NA;summer;13:54:00;14:05:00;1;1;1;1;4;P;Monthly;NA;NA;;;
307;L4_0.45_Oct22;October;2022;21.10.2022;B1;L4;0.45;NA;summer;13:54:00;14:05:00;1;1;1;1;4;P;Monthly;NA;NA;;;
308;L5_0.1_Oct22;October;2022;21.10.2022;B2;L5;0.1;NA;summer;14:20:00;14:55:00;1;1;0,8;0,6;3,4;P;Monthly;NA;NA;;;
309;L5_0.45_Oct22;October;2022;21.10.2022;B2;L5;0.45;NA;summer;14:20:00;14:55:00;1;1;0,8;0,6;3,4;P;Monthly;NA;NA;;;
310;L6_0.1_Oct22;October;2022;21.10.2022;B2;L6;0.1;NA;summer;14:10:00;14:45:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
311;L6_0.45_Oct22;October;2022;21.10.2022;B2;L6;0.45;NA;summer;14:10:00;14:45:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
312;L7_0.1_Oct22;October;2022;21.10.2022;B2;L7;0.1;NA;summer;14:05:00;14:20:00;1;1;1;1;4;none;Monthly;NA;BD;;;
313;L7_0.45_Oct22;October;2022;21.10.2022;B2;L7;0.45;NA;summer;14:05:00;14:20:00;1;1;1;1;4;none;Monthly;NA;BD;;;
314;L8_0.1_Oct22;October;2022;21.10.2022;B2;L8;0.1;NA;summer;14:15:00;14:30:00;1;1;1;1;4;N;Monthly;NA;NA;;;
315;L8_0.45_Oct22;October;2022;21.10.2022;B2;L8;0.45;NA;summer;14:15:00;14:30:00;1;1;1;1;4;N;Monthly;NA;NA;;;
316;L9_0.1_Oct22;October;2022;21.10.2022;B3;L9;0.1;NA;summer;15:03:00;15:12:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
317;L9_0.45_Oct22;October;2022;21.10.2022;B3;L9;0.45;NA;summer;15:03:00;15:12:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
318;L10_0.1_Oct22;October;2022;21.10.2022;B3;L10;0.1;NA;summer;14:55:00;15:15:00;1;1;1;1;4;P;Monthly;NA;NA;;;
319;L10_0.45_Oct22;October;2022;21.10.2022;B3;L10;0.45;NA;summer;14:55:00;15:15:00;1;1;1;1;4;P;Monthly;NA;NA;;;
320;L11_0.1_Oct22;October;2022;21.10.2022;B3;L11;0.1;NA;summer;14:36:00;15:12:00;1;0,89;0,47;0,47;2,83;N;Monthly;NA;NA;;;
321;L11_0.45_Oct22;October;2022;21.10.2022;B3;L11;0.45;NA;summer;14:36:00;15:12:00;1;0,89;0,47;0,47;2,83;N;Monthly;NA;NA;;;
